Atgrp_name	class6	UNIPROT.class	UNIPROT.Organism
AT3Gr20001264	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001265	TE	NA	NA
AT3Gr20001268	TE	NA	NA
AT3Gr20001269	TE	NA	NA
AT3Gr20001271	nucl_tair10	Nucleus	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001277	other_species	Uncharacterized protein	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
AT3Gr20001281	TE-like	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT3Gr20001307	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001327	TE	NA	NA
AT3Gr20001328	TE	NA	NA
AT3Gr20001363	TE	NA	NA
AT3Gr20001370	protein_tair10	Transcription factor	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001371	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001372	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001378	TE	NA	NA
AT3Gr20001379	TE	NA	NA
AT3Gr20001380	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001386	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001390	TE	NA	NA
AT3Gr20001395	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001400	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001402	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001404	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001407	protein_thaliana	Other	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001411	nucl_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001412	TE	NA	NA
AT3Gr20001423	nucl_tair10	Transcription factor	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001427	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001428	TE	NA	NA
AT3Gr20001431	TE	NA	NA
AT3Gr20001440	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001441	TE	NA	NA
AT3Gr20001447	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001451	TE	NA	NA
AT3Gr20001452	other_species	Transferase	Arabidopsis arenosa (Sand rock-cress) (Cardaminopsis arenosa)
AT3Gr20001467	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001470	nucl_tair10	Signal peptide / Secreted	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001477	nucl_tair10	DC1 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001478	protein_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001482	TE	NA	NA
AT3Gr20001483	TE	NA	NA
AT3Gr20001486	TE	NA	NA
AT3Gr20001488	nucl_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001497	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001514	TE	NA	NA
AT3Gr20001516	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001517	TE	NA	NA
AT3Gr20001519	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001525	TE	NA	NA
AT3Gr20001535	TE	DNA integration	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001538	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001539	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001547	nucl_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001562	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001567	other_species	Signal peptide / Secreted	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
AT3Gr20001571	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001572	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001573	TE	NA	NA
AT3Gr20001578	TE	Zinc-finger / Zinc knuckle	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001579	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001589	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001590	TE	NA	NA
AT3Gr20001593	TE	NA	NA
AT3Gr20001599	protein_tair10	Zinc-finger / Zinc knuckle	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001600	protein_tair10	Leucine-rich repeat	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001601	protein_thaliana	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001604	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001607	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001608	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001609	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001610	nucl_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001611	protein_tair10	Repeat	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001615	TE	NA	NA
AT3Gr20001617	TE	NA	NA
AT3Gr20001618	TE	NA	NA
AT3Gr20001621	nucl_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001622	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001624	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001625	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001626	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001628	other_species	NA	NA
AT3Gr20001629	partial_or_no_homology	NA	NA
AT3Gr20001631	TE	NA	NA
AT3Gr20001632	TE	NA	NA
AT3Gr20001633	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001635	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001636	partial_or_no_homology	NA	NA
AT3Gr20001637	TE	NA	NA
AT3Gr20001641	TE	NA	NA
AT3Gr20001642	TE	NA	NA
AT3Gr20001643	nucl_tair10	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001644	protein_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001646	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001649	TE	NA	NA
AT3Gr20001650	TE	NA	NA
AT3Gr20001660	TE	NA	NA
AT3Gr20001661	TE	NA	NA
AT3Gr20001663	TE	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001667	TE	NA	NA
AT3Gr20001668	TE	NA	NA
AT3Gr20001676	TE	NA	NA
AT3Gr20001680	TE	NA	NA
AT3Gr20001681	TE	NA	NA
AT3Gr20001684	TE	NA	NA
AT3Gr20001687	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001689	TE	NA	NA
AT3Gr20001691	TE	NA	NA
AT3Gr20001700	partial_or_no_homology	NA	NA
AT3Gr20001703	nucl_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001704	nucl_tair10	Membrane / Transmembrane	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001706	TE	NA	NA
AT3Gr20001707	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001708	TE-like	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001709	TE	NA	NA
AT3Gr20001713	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001714	protein_tair10	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001715	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001716	TE	NA	NA
AT3Gr20001717	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001718	TE	NA	NA
AT3Gr20001721	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001722	TE	NA	NA
AT3Gr20001726	TE	NA	NA
AT3Gr20001727	TE	NA	NA
AT3Gr20001728	TE-like	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001729	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001730	TE	NA	NA
AT3Gr20001732	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001733	TE	NA	NA
AT3Gr20001735	TE	NA	NA
AT3Gr20001736	protein_tair10	Other	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001745	TE	NA	NA
AT3Gr20001747	TE	NA	NA
AT3Gr20001748	protein_thaliana	Repeat	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001750	nucl_tair10	NA	NA
AT3Gr20001751	nucl_tair10	NA	NA
AT3Gr20001752	nucl_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001753	TE	NA	NA
AT3Gr20001754	TE	NA	NA
AT3Gr20001755	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001757	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001759	TE	NA	NA
AT3Gr20001761	nucl_tair10	DUF4283 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001762	TE	NA	NA
AT3Gr20001765	TE	NA	NA
AT3Gr20001766	TE	NA	NA
AT3Gr20001767	nucl_tair10	NA	NA
AT3Gr20001769	TE	NA	NA
AT3Gr20001770	TE	NA	NA
AT3Gr20001771	TE	NA	NA
AT3Gr20001772	TE	NA	NA
AT3Gr20001773	TE	NA	NA
AT3Gr20001777	nucl_tair10	Coiled coil	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001778	other_species	Uncharacterized protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001779	nucl_tair10	Uncharacterized protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001783	TE	NA	NA
AT3Gr20001784	protein_tair10	Transferase	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001785	TE	NA	NA
AT3Gr20001786	TE	NA	NA
AT3Gr20001787	TE	NA	NA
AT3Gr20001788	TE	NA	NA
AT3Gr20001791	TE	NA	NA
AT3Gr20001792	TE	NA	NA
AT3Gr20001793	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001794	TE	NA	NA
AT3Gr20001795	partial_or_no_homology	NA	NA
AT3Gr20001796	TE	NA	NA
AT3Gr20001797	TE	NA	NA
AT3Gr20001798	TE	NA	NA
AT3Gr20001799	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001800	nucl_tair10	DNA-binding	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001801	TE	NA	NA
AT3Gr20001802	TE	NA	NA
AT3Gr20001803	protein_tair10	Ribonuclease	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001805	TE	NA	NA
AT3Gr20001806	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001807	TE	NA	NA
AT3Gr20001809	TE	NA	NA
AT3Gr20001810	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001811	TE	NA	NA
AT3Gr20001813	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001814	TE	NA	NA
AT3Gr20001815	TE	NA	NA
AT3Gr20001818	TE	NA	NA
AT3Gr20001821	TE	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001822	protein_thaliana	Zinc-finger / Zinc knuckle	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001823	TE	NA	NA
AT3Gr20001825	TE	NA	NA
AT3Gr20001826	TE	NA	NA
AT3Gr20001827	nucl_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001828	TE	NA	NA
AT3Gr20001829	TE	NA	NA
AT3Gr20001830	TE	NA	NA
AT3Gr20001831	TE	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001832	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001833	TE	NA	NA
AT3Gr20001834	TE	NA	NA
AT3Gr20001835	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001836	TE	NA	NA
AT3Gr20001837	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001838	TE	NA	NA
AT3Gr20001839	TE	NA	NA
AT3Gr20001840	TE	NA	NA
AT3Gr20001841	TE	NA	NA
AT3Gr20001843	TE	NA	NA
AT3Gr20001845	TE	NA	NA
AT3Gr20001846	TE	NA	NA
AT3Gr20001847	TE	NA	NA
AT3Gr20001848	partial_or_no_homology	NA	NA
AT3Gr20001849	TE	NA	NA
AT3Gr20001850	protein_tair10	Nucleic acid binding	Vigna unguiculata (Cowpea)
AT3Gr20001851	TE	NA	NA
AT3Gr20001852	TE	NA	NA
AT3Gr20001853	TE	NA	NA
AT3Gr20001854	TE	NA	NA
AT3Gr20001855	TE	NA	NA
AT3Gr20001856	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001857	partial_or_no_homology	NA	NA
AT3Gr20001858	TE	NA	NA
AT3Gr20001859	TE	NA	NA
AT3Gr20001860	TE	NA	NA
AT3Gr20001861	TE	NA	NA
AT3Gr20001863	TE	NA	NA
AT3Gr20001864	TE	NA	NA
AT3Gr20001865	TE	NA	NA
AT3Gr20001866	TE	NA	NA
AT3Gr20001868	TE	NA	NA
AT3Gr20001869	TE	NA	NA
AT3Gr20001870	TE	NA	NA
AT3Gr20001871	TE	NA	NA
AT3Gr20001872	TE	NA	NA
AT3Gr20001873	TE	NA	NA
AT3Gr20001875	TE	NA	NA
AT3Gr20001876	TE	NA	NA
AT3Gr20001877	TE	NA	NA
AT3Gr20001878	TE	NA	NA
AT3Gr20001879	TE	NA	NA
AT3Gr20001881	TE	NA	NA
AT3Gr20001882	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001883	TE	NA	NA
AT3Gr20001884	TE	NA	NA
AT3Gr20001885	TE	NA	NA
AT3Gr20001886	TE	NA	NA
AT3Gr20001887	TE	NA	NA
AT3Gr20001888	TE	NA	NA
AT3Gr20001889	TE	NA	NA
AT3Gr20001890	TE	NA	NA
AT3Gr20001892	TE	NA	NA
AT3Gr20001893	TE	NA	NA
AT3Gr20001894	TE	NA	NA
AT3Gr20001896	TE	NA	NA
AT3Gr20001897	TE	NA	NA
AT3Gr20001898	TE	NA	NA
AT3Gr20001899	TE	NA	NA
AT3Gr20001900	TE	NA	NA
AT3Gr20001902	TE	NA	NA
AT3Gr20001903	partial_or_no_homology	NA	NA
AT3Gr20001904	TE	NA	NA
AT3Gr20001905	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001906	TE	NA	NA
AT3Gr20001907	TE	NA	NA
AT3Gr20001908	TE	NA	NA
AT3Gr20001909	partial_or_no_homology	NA	NA
AT3Gr20001910	TE	NA	NA
AT3Gr20001911	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001912	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001913	protein_tair10	Signal peptide / Secreted	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001914	partial_or_no_homology	NA	NA
AT3Gr20001915	TE	NA	NA
AT3Gr20001916	TE	NA	NA
AT3Gr20001917	TE	NA	NA
AT3Gr20001918	TE	NA	NA
AT3Gr20001920	TE	NA	NA
AT3Gr20001921	protein_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001922	protein_tair10	Metal-binding / Iron ion binding / Metal ion binding	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001923	TE	NA	NA
AT3Gr20001924	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001925	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001927	TE	NA	NA
AT3Gr20001929	partial_or_no_homology	NA	NA
AT3Gr20001930	TE	NA	NA
AT3Gr20001931	TE	NA	NA
AT3Gr20001932	TE	NA	NA
AT3Gr20001933	TE	NA	NA
AT3Gr20001935	TE	NA	NA
AT3Gr20001936	TE	NA	NA
AT3Gr20001937	TE	NA	NA
AT3Gr20001939	TE	NA	NA
AT3Gr20001940	TE	NA	NA
AT3Gr20001941	TE	NA	NA
AT3Gr20001942	TE	NA	NA
AT3Gr20001943	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20001944	TE	NA	NA
AT3Gr20001945	TE	NA	NA
AT3Gr20001946	TE	NA	NA
AT3Gr20001947	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20001948	TE	NA	NA
AT3Gr20001949	TE	NA	NA
AT3Gr20001951	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001953	TE	NA	NA
AT3Gr20001955	TE	NA	NA
AT3Gr20001956	TE	NA	NA
AT3Gr20001957	TE	NA	NA
AT3Gr20001958	TE	NA	NA
AT3Gr20001959	TE	NA	NA
AT3Gr20001961	TE	NA	NA
AT3Gr20001962	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001963	TE	NA	NA
AT3Gr20001964	TE	NA	NA
AT3Gr20001965	TE	NA	NA
AT3Gr20001966	TE	NA	NA
AT3Gr20001967	TE	NA	NA
AT3Gr20001968	nucl_tair10	NA	NA
AT3Gr20001969	nucl_tair10	NA	NA
AT3Gr20001970	nucl_tair10	NA	NA
AT3Gr20001971	TE	NA	NA
AT3Gr20001972	TE	NA	NA
AT3Gr20001973	TE	NA	NA
AT3Gr20001974	TE	NA	NA
AT3Gr20001975	TE	NA	NA
AT3Gr20001976	TE	NA	NA
AT3Gr20001977	TE	NA	NA
AT3Gr20001978	TE	NA	NA
AT3Gr20001979	TE	NA	NA
AT3Gr20001980	protein_thaliana	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20001981	TE	NA	NA
AT3Gr20001983	TE	NA	NA
AT3Gr20001984	TE	NA	NA
AT3Gr20001985	TE	NA	NA
AT3Gr20001986	TE	NA	NA
AT3Gr20001987	TE	NA	NA
AT3Gr20001988	TE	NA	NA
AT3Gr20001989	TE	NA	NA
AT3Gr20001990	TE	NA	NA
AT3Gr20001991	TE	NA	NA
AT3Gr20001994	TE	NA	NA
AT3Gr20001995	TE	NA	NA
AT3Gr20001996	TE	NA	NA
AT3Gr20001997	TE	NA	NA
AT3Gr20001998	protein_tair10	Uncharacterized protein	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20002000	protein_tair10	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002002	TE	NA	NA
AT3Gr20002003	TE	NA	NA
AT3Gr20002004	TE	NA	NA
AT3Gr20002005	TE	NA	NA
AT3Gr20002006	TE	NA	NA
AT3Gr20002007	TE	NA	NA
AT3Gr20002008	TE	NA	NA
AT3Gr20002009	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20002012	TE	NA	NA
AT3Gr20002013	TE	NA	NA
AT3Gr20002014	TE	NA	NA
AT3Gr20002015	TE	NA	NA
AT3Gr20002016	TE	NA	NA
AT3Gr20002017	TE	NA	NA
AT3Gr20002018	TE	NA	NA
AT3Gr20002019	TE	NA	NA
AT3Gr20002020	TE	NA	NA
AT3Gr20002021	TE	NA	NA
AT3Gr20002022	TE	NA	NA
AT3Gr20002023	TE	NA	NA
AT3Gr20002024	TE	NA	NA
AT3Gr20002025	TE	NA	NA
AT3Gr20002026	TE	NA	NA
AT3Gr20002028	partial_or_no_homology	NA	NA
AT3Gr20002029	TE	NA	NA
AT3Gr20002030	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002031	TE	NA	NA
AT3Gr20002033	TE	NA	NA
AT3Gr20002034	TE	NA	NA
AT3Gr20002035	TE	NA	NA
AT3Gr20002037	TE	Coiled coil	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002038	TE	NA	NA
AT3Gr20002039	TE	NA	NA
AT3Gr20002040	TE-like	Coiled coil	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002041	TE	NA	NA
AT3Gr20002042	TE	NA	NA
AT3Gr20002045	TE	NA	NA
AT3Gr20002046	nucl_tair10	NA	NA
AT3Gr20002047	nucl_tair10	NA	NA
AT3Gr20002048	TE	NA	NA
AT3Gr20002051	partial_or_no_homology	NA	NA
AT3Gr20002052	TE	NA	NA
AT3Gr20002053	TE	NA	NA
AT3Gr20002055	TE	NA	NA
AT3Gr20002058	TE	NA	NA
AT3Gr20002059	TE	NA	NA
AT3Gr20002060	TE	NA	NA
AT3Gr20002061	TE	NA	NA
AT3Gr20002062	TE	NA	NA
AT3Gr20002063	TE	NA	NA
AT3Gr20002064	TE	NA	NA
AT3Gr20002065	TE	NA	NA
AT3Gr20002067	protein_thaliana	Membrane / Transmembrane	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002068	TE	NA	NA
AT3Gr20002069	TE	NA	NA
AT3Gr20002070	TE	NA	NA
AT3Gr20002071	TE	NA	NA
AT3Gr20002072	TE	NA	NA
AT3Gr20002073	TE	NA	NA
AT3Gr20002074	TE	NA	NA
AT3Gr20002075	protein_thaliana	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002076	TE	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002078	TE	NA	NA
AT3Gr20002079	TE	NA	NA
AT3Gr20002080	TE	NA	NA
AT3Gr20002081	TE	NA	NA
AT3Gr20002082	TE	NA	NA
AT3Gr20002084	TE	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20002086	protein_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002088	TE	NA	NA
AT3Gr20002089	TE-like	DNA-binding	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002090	TE	NA	NA
AT3Gr20002092	protein_thaliana	Zinc-finger / Zinc knuckle	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20002094	TE	NA	NA
AT3Gr20002095	TE	NA	NA
AT3Gr20002096	TE	NA	NA
AT3Gr20002099	TE	NA	NA
AT3Gr20002100	TE	NA	NA
AT3Gr20002101	TE	NA	NA
AT3Gr20002102	protein_thaliana	DUF1204 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002103	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20002104	TE	DUF4283 domain-containing protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002105	TE	NA	NA
AT3Gr20002107	TE	NA	NA
AT3Gr20002108	TE	NA	NA
AT3Gr20002109	TE	NA	NA
AT3Gr20002110	TE-like	Reverse transcriptase	Arabidopsis thaliana x Arabidopsis arenosa
AT3Gr20002111	partial_or_no_homology	NA	NA
AT3Gr20002113	TE	NA	NA
AT3Gr20002114	TE	NA	NA
AT3Gr20002115	TE	NA	NA
AT3Gr20002116	TE	NA	NA
AT3Gr20002117	TE	NA	NA
AT3Gr20002120	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002121	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002122	partial_or_no_homology	NA	NA
AT3Gr20002123	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002124	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002125	nucl_tair10	Uncharacterized protein	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002128	nucl_tair10	Plant defense	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002130	TE	NA	NA
AT3Gr20002131	TE	NA	NA
AT3Gr20002132	TE	NA	NA
AT3Gr20002133	TE	NA	NA
AT3Gr20002134	protein_thaliana	F-box	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002135	TE	Zinc-finger / Zinc knuckle	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002136	TE	NA	NA
AT3Gr20002137	TE	NA	NA
AT3Gr20002138	TE	NA	NA
AT3Gr20002140	TE-like	TE / Transposon / Transposase / DNA transposition	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002141	TE	NA	NA
AT3Gr20002144	TE	NA	NA
AT3Gr20002145	TE	NA	NA
AT3Gr20002146	TE	NA	NA
AT3Gr20002147	TE	NA	NA
AT3Gr20002148	TE	Reverse transcriptase	Arabidopsis suecica (Swedish thale-cress) (Cardaminopsis suecica)
AT3Gr20002149	TE	NA	NA
AT3Gr20002150	nucl_tair10	Other	Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress)
AT3Gr20002151	TE	Reverse transcriptase	Arabidopsis thaliana (Mouse-ear cress)
AT3Gr20002152	TE	NA	NA
AT3Gr20002153	TE	NA	NA
AT3Gr20002154	TE	NA	NA
AT3Gr20002155	TE	NA	NA
AT3Gr20002156	TE	NA	NA
